word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
acerbic,adj.,苦澀的、刻薄的,tasting sour; harsh in language or temper,He instantly wished he could take back the acerbic comment.,,,,3,3,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
exacerbate,v.,加重、惡化,"make (pain, disease, a situation) worse; aggravate",The strong pound has exacerbated the situation by making it much harder for UK companies to compete on price. 英鎊走強使得 英國公司在價格上更難與他人競爭，使目前處境更加惡化,,,,5,5,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
acid,,酸的,,,,,,1,1,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
acrid,adj.,辛辣的、刻薄的,having a strongly bitter smell or taste,,,,,5,2,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
acrimonious,adj.,尖刻的、嚴厲的,bitter,You are liable to face acrimonious reprisals from your enemy once you stepped down from your office. 你下臺之後，很可能面 臨對手刻毒的反擊,bitter;rancorous;resentful,,,4,4,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
acrimony,n.,尖刻、刻薄,bitterness of manner or words,Their relationship was filled with acrimony and bitterness.,,civility;comity,,4,4,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
acuity,n.,敏銳,(esp of thought or the senses) sharpness; acuteness,The doctor's acuity allowed him to make an accurate diagnosis.,,,,1,1,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
acumen,n.,精明,ability to understand and judge things quickly and clearly; shrewdness,business acumen 商業上的精明、商業頭腦,,,,3,3,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
acute,adj.,靈敏的；劇烈的,very great; severe,The patient was suffering from acute pain in his chest.,,,,1,1,"Mason 2000 PDF page 3 / 字根 acerb, acid, acri, acu 尖、酸 / 提示 acid 酸"
counteract,v.,消除、抵消,act against and reduce the force or effect of,Eating a balanced diet can counteract the negative effects of stress.,,,,1,1,Mason 2000 PDF page 3 / 字根 act 行動 / 提示 activate 啟動
enact,v.,制定（法律）、扮演（角色）,"perform (a part, play, etc) on, or as if on, the stage of a theatre",The government plans to enact new laws to reduce pollution.,,,,1,1,Mason 2000 PDF page 3 / 字根 act 行動 / 提示 activate 啟動
reactant,n.,反應物,substance taking part in a chemical reaction,,,,,1,1,Mason 2000 PDF page 3 / 字根 act 行動 / 提示 activate 啟動
reactionary,,保守的、反動的,"n, adj opposing (esp political) progress or reform",His views were considered reactionary and out of touch with reality.,,,,4,4,Mason 2000 PDF page 3 / 字根 act 行動 / 提示 activate 啟動
exactitude,n.,正確性、精確性,the quality or an instance of being exact : EXACTNESS,The surgeon's success relied on the exactitude of his movements.,,,,2,2,Mason 2000 PDF page 3 / 字根 act 行動 / 提示 activate 啟動
exacting,adj.,嚴格的、嚴厲的,making great demands; requiring great effort,The job required an exacting attention to detail and precision.,,,,4,4,Mason 2000 PDF page 3 / 字根 act 行動 / 提示 activate 啟動
aerate,v.,充氣、使空氣進入,add carbon dioxide to under pressure,,,,,5,2,Mason 2000 PDF page 3 / 字根 aer 空氣 / 提示 air 空氣
aerial,n.,空中的、空氣中的,one or more wires or rods for sending or receiving radio waves .,The drone captured stunning aerial footage of the city skyline.,,,,5,2,Mason 2000 PDF page 3 / 字根 aer 空氣 / 提示 air 空氣
aeronautics,n.,航空學,scientific study or practice of flying and navigating aircraft,,,,aero(空氣) + nau(船) + tics,5,2,Mason 2000 PDF page 4 / 字根 aer 空氣 / 提示 air 空氣
anaerobic,adj.,無氧的；厭氧的、厭氧微生物,"living, active, occurring, or existing in the absence of free oxygen",Anaerobic exercises can improve muscle strength and endurance.,,,an(不) + aero(空氣) + bic,5,2,Mason 2000 PDF page 4 / 字根 aer 空氣 / 提示 air 空氣
agile,adj.,靈敏的、靈活的,able to move quickly and easily; active; nimble,The agile cat leapt effortlessly from the ground to the roof.,,,,4,4,"Mason 2000 PDF page 4 / 字根 ag, ig: to act 做、動 / 提示 agile 靈敏的 (AGI)"
agitated,adj.,激動的、不安的,troubled or excited,Deborah was so agitated she could hardly talk,,,,3,3,"Mason 2000 PDF page 4 / 字根 ag, ig: to act 做、動 / 提示 agile 靈敏的 (AGI)"
coagulate,v.,使凝結,change from a liquid to a thick and semi-solid state; clot,The egg whites will coagulate when heated to the right temperature.,,,co(一起) + ag (做) + ulate,1,1,"Mason 2000 PDF page 4 / 字根 ag, ig: to act 做、動 / 提示 agile 靈敏的 (AGI)"
exigent,adj.,緊急的、要求多的,requiring immediate action; urgent,(1) The CEO was faced with an exigent decision regarding the company's future. (2) exigent circumstances 緊急狀況,crititcal;acute,,exit(出口) + ig(做、動) → 向出口衝 → 緊急的,5,5,"Mason 2000 PDF page 4 / 字根 ag, ig: to act 做、動 / 提示 agile 靈敏的 (AGI)"
prodigal,adj.,非常浪費的、揮霍的,spending money or resources too freely; extravagant,It is short-sighted and a prodigal use of limited resources 這是短視且對於有限資源使用上的揮霍浪費,extravagant;profligate;spendthrift;squandering,economical;frugal;thrifty,pro(向前) + dig(挖) + al(=all所有) → 挖出所有的存款 → 揮霍的,5,5,"Mason 2000 PDF page 4 / 字根 ag, ig: to act 做、動 / 提示 agile 靈敏的 (AGI)"
reagent,n.,試劑（導致化學反應）,"substance used to cause a chemical reaction, esp to detect another substance",The scientist added a reagent to the mixture to initiate the reaction.,,,,5,2,"Mason 2000 PDF page 4 / 字根 ag, ig: to act 做、動 / 提示 agile 靈敏的 (AGI)"
agog,adj.,渴望的、極興奮的,eager; excited,The crowd was agog with excitement as the band took the stage.,,,,5,2,Mason 2000 PDF page 4 / 字根 agog 引導 / 提示 pedagogue 學究、老師
demagogue,n.,蠱惑民心的行為；蠱惑民心的政客、煽動家,political leader who tries to win people's support by using emotional and often unreasonable arguments,The politician's speeches were often filled with demagoguery and false promises.,,,dem(人民) + agog(引導),5,2,Mason 2000 PDF page 4 / 字根 agog 引導 / 提示 pedagogue 學究、老師
pedagogy,n.,教育學、教學法,study or science of ways and methods of teaching,The school's new approach to pedagogy emphasizes student-centered learning.,,,,5,2,Mason 2000 PDF page 4 / 字根 agog 引導 / 提示 pedagogue 學究、老師
pedagogic,,教育學的,,,,,,5,2,Mason 2000 PDF page 4 / 字根 agog 引導 / 提示 pedagogue 學究、老師
pedagogue,n.,學究、老師,teacher,,,,,5,2,Mason 2000 PDF page 4 / 字根 agog 引導 / 提示 pedagogue 學究、老師
agony,n.,極大的痛苦,extreme mental or physical suffering,He was in terrible agony after breaking her arm.,,,,3,3,Mason 2000 PDF page 4 / 字根 agon 掙扎、打鬥 / 提示 agony 痛苦
antagonistic,adj.,敵對的、對抗性的,showing dislike or opposition : marked by or resulting from antagonism,an antagonistic relationship 一個敵對關係,adversarial;adversary;antipathetic;hostile;inhospitable;inimical,,,4,4,Mason 2000 PDF page 4 / 字根 agon 掙扎、打鬥 / 提示 agony 痛苦
protagonist,n.,主演、主角、主唱者,(fml ) chief character in a drama; hero,This film has so many protagonists and the storylines are so messy.,,,,4,4,Mason 2000 PDF page 4 / 字根 agon 掙扎、打鬥 / 提示 agony 痛苦
agrarian,adj.,土地的,of land,The agrarian lifestyle of the rural community revolved around farming.,,,,1,1,Mason 2000 PDF page 5 / 字根 agr 田地、農業 / 提示 agriculture 農業
peregrinate,v.,遊歷、旅行,to travel especially on foot,The couple planned to peregrinate across the country on their motorcycles.,,,per(完全) + egr(=agr田地) → 遊歷、旅行,3,3,Mason 2000 PDF page 5 / 字根 agr 田地、農業 / 提示 agriculture 農業
coalesce,v.,聯合、合併,"combine and form one group, substance, mass, etc",The two companies decided to coalesce and form a new partnership.,associate;combine;conjugate;connect;unify;unite,,"co, col, com, con 共同 + al 成長",2,2,Mason 2000 PDF page 5 / 字根 al 成長 / 提示 coalition 同盟、聯合
coalition,n.,同盟、聯合,action of uniting into one body or group,The political parties formed a coalition to gain more power.,,,"co, col, com, con 共同 + al 成長",1,1,Mason 2000 PDF page 5 / 字根 al 成長 / 提示 coalition 同盟、聯合
ail,,生病,,She has been ailing for a long time. 她已病了好久了,,,,5,2,Mason 2000 PDF page 5 / 字根 ail 病 / 提示 ail 病
analgesic,adj.,n. 鎮痛劑 adj. 止痛的,n substance that relieves pain,performed painful experiments without analgesics,,,,2,2,Mason 2000 PDF page 5 / 字根 alg 痛 / 提示 nostalgia 思鄉病
nostalgia,n.,思鄉病,sentimental longing for things that are past,A wave of nostalgia swept over me when I saw my childhood school.,,,nost(家) + alg (痛) + ia,4,4,Mason 2000 PDF page 5 / 字根 alg 痛 / 提示 nostalgia 思鄉病
alienation,n.,疏離、疏遠,a withdrawing or separation of a person or a person's affections from an object or position of former attachment : ESTRANGEMENT,a sense of alienation,,,,1,1,Mason 2000 PDF page 5 / 字根 alien 疏遠 / 提示 alien 外星人
inalienable,adj.,不可剝奪的,that cannot be taken away,Freedom is an inalienable right that should be protected for all.,,,,1,1,Mason 2000 PDF page 5 / 字根 alien 疏遠 / 提示 alien 外星人
exalt,v.,讚揚、歌頌,make (sb) higher in rank or greater in power,The retiring president was exalted by his colleagues.,extol;laud,lambaste(嚴厲指責);pan(嚴厲批評);deprecate(輕視;抗議);excoriate(批判);disparage(藐視;貶損);vilify(誹謗),,4,4,Mason 2000 PDF page 5 / 字根 alt 高 / 提示 altitude 高度
alternative,adj.,替代的；輪流的、交替的；非主流的、另類的,"offering or expressing a choice; different from the usual or conventional; existing or functioning outside the established cultural, social, or economic system",an alternative approach to treating the disease 一個治療該疾病的替代途徑 // an alternative newspaper 非主流的,,,,3,3,"Mason 2000 PDF page 5 / 字根 alter, altr 改變、其他 / 提示 alter 改變"
altruism,n.,利他主義,principle of considering the welfare and happiness of others before one's own; unselfishness,charitable acts motivated purely by altruism 由純粹利他主義之動機所為的慈善行為,,,altru(其他) + ism(主義),5,5,"Mason 2000 PDF page 5 / 字根 alter, altr 改變、其他 / 提示 alter 改變"
amateur,,業餘愛好者,,,,,,1,1,Mason 2000 PDF page 5 / 字根 am 愛、情愛 / 提示 amiable 和藹的、親切的
amiable,adj.,和藹的、親切的,showing and inspiring friendliness; pleasant and good-tempered,an amiable host 友好的 an amiable man 和藹可親的,,,,3,3,Mason 2000 PDF page 5 / 字根 am 愛、情愛 / 提示 amiable 和藹的、親切的
amicable,adj.,友好的,showing friendliness; without hostility,,,,,5,2,Mason 2000 PDF page 6 / 字根 am 愛、情愛 / 提示 amiable 和藹的、親切的
amity,n.,和睦、親善、（國與國之間等的）友好關係,friendly relationship between people or countries,,,,,1,1,Mason 2000 PDF page 6 / 字根 am 愛、情愛 / 提示 amiable 和藹的、親切的
enmity,n.,敵意、不和,condition or feeling of being an enemy; hostility,,,,,1,1,Mason 2000 PDF page 6 / 字根 am 愛、情愛 / 提示 amiable 和藹的、親切的
enamored,adj.,迷戀的,"affected by strong feelings of love, admiration, or fascination","He would be enamored of a particular wine for a while, and then switch to a new one that caught his fancy. — Lisa King",,,,3,3,Mason 2000 PDF page 6 / 字根 am 愛、情愛 / 提示 amiable 和藹的、親切的
inimical,adj.,有敵意的、不和的,(fml ) unfriendly; hostile,Many of their doctrines(教條) are inimical to friendliness to the West.,,,,5,5,Mason 2000 PDF page 6 / 字根 am 愛、情愛 / 提示 amiable 和藹的、親切的
amble,v.,從容漫步,"ride or walk at a slow, leisurely pace",,,,,5,2,"Mason 2000 PDF page 6 / 字根 amble, ambul 行走、走來走去 / 提示 ambulance 救護車"
ambulance,,救護車,,,,,,1,1,"Mason 2000 PDF page 6 / 字根 amble, ambul 行走、走來走去 / 提示 ambulance 救護車"
ambulatory,,（適宜於）步行的,walking,,,,,5,2,"Mason 2000 PDF page 6 / 字根 amble, ambul 行走、走來走去 / 提示 ambulance 救護車"
perambulate,v.,巡行於、勘查,"walk about, through or over (a place)",,,,per(完全) + amble(行走),5,2,"Mason 2000 PDF page 6 / 字根 amble, ambul 行走、走來走去 / 提示 ambulance 救護車"
preamble,n.,前言、序言、先兆,"opening statement explaining the purpose of the book, document, lecture, etc that follows",,,,pre(前) + amble(行走),5,2,"Mason 2000 PDF page 6 / 字根 amble, ambul 行走、走來走去 / 提示 ambulance 救護車"
ramble,v.,閒逛、漫步,walk for pleasure with no special destination,,,,,1,1,"Mason 2000 PDF page 6 / 字根 amble, ambul 行走、走來走去 / 提示 ambulance 救護車"
scramble,v.,爬行、攀爬,"climb or crawl quickly, usu over rough ground or with difficulty; clamber",,,,,5,2,"Mason 2000 PDF page 6 / 字根 amble, ambul 行走、走來走去 / 提示 ambulance 救護車"
